dataset,method,series,rows,seeds,points,valid_ap_series,zero_anomaly_series,coverage_ratio,ap,ap_std,auc,auc_std,best_f1,best_f1_std,best_precision,best_precision_std,best_recall,best_recall_std,f1_q95,f1_q95_std,f1_q97,f1_q97_std,f1_q99,f1_q99_std,f1_q995,f1_q995_std,f1_mad3,f1_mad3_std,precision_q99,precision_q99_std,recall_q99,recall_q99_std,precision_mad3,precision_mad3_std,recall_mad3,recall_mad3_std,event_f1_q95,event_f1_q95_std,event_f1_q97,event_f1_q97_std,event_f1_q99,event_f1_q99_std,event_f1_q995,event_f1_q995_std,event_f1_mad3,event_f1_mad3_std,valid_point_pa_series,valid_event_pa_series,point_f1_pa,point_f1_pa_std,point_precision_pa,point_precision_pa_std,point_recall_pa,point_recall_pa_std,point_threshold_pa,point_threshold_pa_std,event_f1_pa_log,event_f1_pa_log_std,event_precision_pa_log,event_precision_pa_log_std,event_recall_pa_log,event_recall_pa_log_std,event_threshold_pa_log,event_threshold_pa_log_std
AIOPS,persistence,29,29,1,3073527,29,0,1.000000,0.208809,0.139923,0.623287,0.159983,0.284917,0.146352,0.440806,0.204779,0.229077,0.142991,0.118456,0.067395,0.143425,0.073620,0.191029,0.080841,0.198504,0.084157,0.148865,0.076381,0.262297,0.161895,0.235215,0.180938,0.126349,0.094004,0.311309,0.173747,0.149064,0.183012,0.191745,0.186165,0.310410,0.173910,0.443510,0.197540,0.157818,0.107070,29,29,0.851052,0.106186,0.868643,0.104671,0.851358,0.145980,0.128378,0.100403,0.682278,0.149751,0.727362,0.170554,0.682040,0.188504,0.219701,0.300118
AIOPS,rolling_mad,29,29,1,3073527,29,0,1.000000,0.124879,0.133566,0.578537,0.128189,0.196014,0.139311,0.324293,0.262402,0.217831,0.197799,0.074442,0.043722,0.085115,0.051202,0.108318,0.056244,0.112673,0.071447,0.086704,0.035026,0.133651,0.077294,0.157048,0.170982,0.060239,0.029030,0.240076,0.155212,0.124153,0.180740,0.142167,0.182032,0.184212,0.113369,0.250450,0.135598,0.094124,0.053414,29,29,0.780915,0.161360,0.820685,0.199095,0.796516,0.183528,11441.770738,28276.320244,0.537698,0.216535,0.641402,0.266119,0.568585,0.227668,39503.119545,122432.748900
AIOPS,rolling_mean,29,29,1,3073527,29,0,1.000000,0.248301,0.163689,0.641959,0.153583,0.317761,0.162504,0.541156,0.266236,0.240402,0.133843,0.123297,0.074654,0.151647,0.082718,0.210853,0.096052,0.220530,0.101129,0.150556,0.075887,0.289865,0.185673,0.254619,0.187819,0.121179,0.080921,0.326096,0.181243,0.150308,0.183457,0.164084,0.114856,0.335990,0.200132,0.472062,0.212216,0.147446,0.090567,29,29,0.892739,0.097224,0.919097,0.090284,0.880965,0.133964,0.097742,0.114659,0.791356,0.156680,0.879544,0.130650,0.740698,0.191759,0.151681,0.213527
AIOPS,rolling_median,29,29,1,3073527,29,0,1.000000,0.245565,0.167497,0.626844,0.165748,0.316143,0.168728,0.557952,0.270880,0.235918,0.139575,0.120023,0.072635,0.146560,0.081090,0.204806,0.095915,0.217551,0.100375,0.147481,0.074777,0.280504,0.184905,0.249469,0.185598,0.120978,0.084949,0.318310,0.179114,0.145730,0.183277,0.191067,0.189594,0.323829,0.196888,0.461517,0.211631,0.144587,0.090357,29,29,0.891568,0.097210,0.902915,0.111289,0.893346,0.123905,0.094307,0.106395,0.796675,0.155490,0.877096,0.142903,0.741668,0.181761,0.127856,0.121867
AIOPS,spectral_residual,29,29,1,3073527,29,0,1.000000,0.225506,0.114897,0.698538,0.151311,0.333666,0.144280,0.457632,0.185405,0.280326,0.146641,0.146523,0.078558,0.180541,0.086785,0.240395,0.099253,0.248256,0.118937,0.161572,0.077482,0.320410,0.175211,0.299246,0.227267,0.120857,0.072493,0.403711,0.225538,0.115454,0.090161,0.168814,0.121960,0.359252,0.204041,0.529021,0.211004,0.128621,0.089366,29,29,0.896236,0.076557,0.874574,0.103932,0.929968,0.086868,0.037533,0.047967,0.683639,0.138393,0.635935,0.173001,0.781162,0.176328,0.049561,0.052186
NAB,persistence,10,10,1,79308,10,0,1.000000,0.107710,0.025175,0.562084,0.073426,0.176969,0.036734,0.117606,0.029848,0.513339,0.338846,0.113581,0.041198,0.093451,0.042007,0.049401,0.030761,0.032539,0.018554,0.116899,0.048482,0.179883,0.075889,0.029313,0.019658,0.133201,0.046267,0.130203,0.079427,0.204409,0.066411,0.223890,0.069104,0.250399,0.105496,0.319210,0.163223,0.202343,0.074266,10,10,0.998146,0.002687,0.996312,0.005344,1.000000,0.000000,0.765280,0.515444,0.905195,0.134694,0.850000,0.209595,1.000000,0.000000,0.765280,0.515444
NAB,rolling_mad,10,10,1,79308,10,0,1.000000,0.082146,0.029005,0.509439,0.014063,0.145082,0.050140,0.086096,0.025605,0.683022,0.387958,0.074651,0.025552,0.057758,0.024855,0.024077,0.016846,0.015560,0.015532,0.073759,0.025058,0.098251,0.066172,0.014009,0.010036,0.086642,0.033705,0.082456,0.045145,0.151880,0.055938,0.161146,0.055280,0.154883,0.089252,0.158093,0.123050,0.152970,0.058055,10,10,0.980875,0.025905,0.963577,0.048528,1.000000,0.000000,11869.241087,18726.944613,0.617230,0.319655,0.541193,0.318937,0.950000,0.158114,16079.766868,28476.202039
NAB,rolling_mean,10,10,1,79308,10,0,1.000000,0.108883,0.026089,0.572059,0.074819,0.180572,0.034770,0.117105,0.024361,0.513860,0.300229,0.115565,0.041652,0.092061,0.039548,0.051619,0.032513,0.036850,0.024681,0.123740,0.048519,0.192500,0.080838,0.030350,0.020238,0.123171,0.040218,0.163480,0.118971,0.219967,0.059071,0.235960,0.062341,0.299582,0.114672,0.401539,0.158617,0.209698,0.060906,10,10,0.997599,0.003328,0.995230,0.006598,1.000000,0.000000,0.490657,0.324489,0.881418,0.149020,0.814484,0.222032,1.000000,0.000000,0.490657,0.324489
NAB,rolling_median,10,10,1,79308,10,0,1.000000,0.109379,0.025435,0.566876,0.074980,0.177716,0.037755,0.117842,0.027682,0.540540,0.339307,0.117692,0.040707,0.093940,0.040369,0.049988,0.032600,0.035628,0.022519,0.111992,0.058785,0.184294,0.082102,0.029434,0.020268,0.134079,0.046621,0.125397,0.093549,0.216582,0.058039,0.235978,0.070279,0.279150,0.128814,0.365918,0.142828,0.221145,0.065082,10,10,0.997894,0.002886,0.995812,0.005728,1.000000,0.000000,0.468524,0.308401,0.891504,0.136774,0.827201,0.207498,1.000000,0.000000,0.468524,0.308401
NAB,spectral_residual,10,10,1,79308,10,0,1.000000,0.115327,0.033424,0.593835,0.073798,0.185921,0.041731,0.121186,0.033039,0.539593,0.281472,0.129692,0.047038,0.100982,0.039198,0.058774,0.033827,0.033064,0.022011,0.137389,0.049796,0.233750,0.107698,0.034275,0.020965,0.137186,0.039546,0.155274,0.088470,0.237277,0.069658,0.247404,0.073795,0.338479,0.117785,0.388223,0.181597,0.214917,0.063240,10,10,0.992763,0.005909,0.985690,0.011629,1.000000,0.000000,0.317477,0.152933,0.678137,0.201196,0.548901,0.263997,1.000000,0.000000,0.317477,0.152933
TODS,persistence,15,15,1,74985,15,0,1.000000,0.184925,0.090104,0.610815,0.220285,0.320631,0.140389,0.282222,0.157721,0.621595,0.306855,0.247320,0.121984,0.181425,0.105391,0.062387,0.057545,0.036036,0.041814,0.294665,0.169806,0.236000,0.215168,0.036320,0.033994,0.318591,0.124661,0.355195,0.282481,0.450353,0.237742,0.367232,0.225700,0.201274,0.216349,0.185848,0.233375,0.587102,0.245590,15,15,0.678744,0.160280,0.605917,0.206375,0.838336,0.154154,0.097430,0.064778,0.506682,0.100873,0.410452,0.115080,0.721165,0.170810,0.118668,0.109886
TODS,rolling_mad,15,15,1,74985,15,0,1.000000,0.279285,0.115450,0.715572,0.125751,0.369462,0.149993,0.372866,0.157669,0.440935,0.189593,0.341323,0.147458,0.296143,0.117942,0.161163,0.054683,0.092731,0.032620,0.329916,0.152827,0.553333,0.104654,0.095104,0.034861,0.341090,0.068808,0.368226,0.253936,0.504619,0.224925,0.533098,0.216151,0.410999,0.141833,0.287670,0.167850,0.511382,0.180012,15,15,0.797159,0.134596,0.749664,0.166907,0.860042,0.098328,4.758601,0.897835,0.627648,0.065636,0.551159,0.092367,0.745017,0.087780,5.607341,1.614512
TODS,rolling_mean,15,15,1,74985,15,0,1.000000,0.349316,0.080881,0.716232,0.161811,0.460877,0.105575,0.530483,0.046718,0.454948,0.207505,0.422016,0.081586,0.370330,0.056300,0.182568,0.042680,0.097078,0.029992,0.442580,0.115286,0.661464,0.186493,0.106915,0.026577,0.564825,0.098916,0.429360,0.221179,0.587124,0.159943,0.649896,0.148625,0.505920,0.267488,0.371708,0.277852,0.741688,0.068254,15,15,0.778687,0.135251,0.753499,0.183631,0.851768,0.164641,0.099305,0.116063,0.702233,0.105811,0.638817,0.178992,0.813455,0.073822,0.111412,0.120995
TODS,rolling_median,15,15,1,74985,15,0,1.000000,0.364323,0.088202,0.714433,0.166381,0.468387,0.103889,0.540233,0.069135,0.457188,0.200595,0.434869,0.088853,0.378376,0.051017,0.190042,0.038190,0.107630,0.028072,0.455196,0.109217,0.683007,0.154768,0.111429,0.024822,0.554761,0.086171,0.445353,0.214299,0.600695,0.172806,0.662134,0.151058,0.513695,0.244682,0.379431,0.245468,0.723617,0.102355,15,15,0.783585,0.137067,0.761105,0.182845,0.852196,0.165265,0.104801,0.121454,0.699329,0.097893,0.627622,0.166708,0.823913,0.082677,0.111209,0.130125
TODS,spectral_residual,15,15,1,74985,15,0,1.000000,0.239999,0.086546,0.710735,0.139402,0.341369,0.120989,0.333346,0.135903,0.436751,0.204391,0.318506,0.128016,0.275917,0.113932,0.121335,0.039791,0.055527,0.021958,0.306174,0.137483,0.425333,0.117951,0.071422,0.024974,0.308180,0.102348,0.375943,0.235931,0.577519,0.225410,0.544966,0.189645,0.367112,0.202709,0.259990,0.205921,0.610467,0.196312,15,15,0.728514,0.162526,0.703644,0.179991,0.776001,0.186763,0.040807,0.015685,0.558490,0.080608,0.491566,0.065316,0.653541,0.126147,0.045177,0.012589
UCR,persistence,203,203,1,7782336,201,2,1.000000,0.108488,0.246770,0.522653,0.230403,0.136298,0.252458,0.205544,0.342898,0.488064,0.398224,0.033451,0.075667,0.041350,0.104578,0.050330,0.123241,0.049768,0.106047,0.043694,0.108645,0.053961,0.153094,0.116189,0.253896,0.035729,0.096959,0.185425,0.284847,0.028996,0.076104,0.036423,0.085209,0.070579,0.171316,0.085999,0.186605,0.041025,0.093530,201,201,0.696978,0.366003,0.641302,0.385532,1.000000,0.000000,1.071848,3.046888,0.417195,0.434335,0.382028,0.436863,1.000000,0.000000,1.071848,3.046888
UCR,rolling_mad,203,203,1,7782336,201,2,1.000000,0.026411,0.056408,0.521476,0.128122,0.053191,0.085415,0.081921,0.173718,0.371662,0.354455,0.017658,0.024122,0.019074,0.029493,0.022362,0.046062,0.023683,0.052773,0.018411,0.023119,0.026427,0.064754,0.061686,0.184904,0.012418,0.018704,0.126276,0.194951,0.024685,0.073388,0.028237,0.075934,0.040778,0.095737,0.053111,0.127536,0.025302,0.072936,201,201,0.603104,0.362246,0.527634,0.376544,1.000000,0.000000,25723.339263,117287.221915,0.268687,0.343603,0.216091,0.311736,1.000000,0.000000,25723.339263,117287.221915
UCR,rolling_mean,203,203,1,7782336,201,2,1.000000,0.087625,0.204853,0.538660,0.210083,0.114648,0.219879,0.181921,0.329412,0.497753,0.393353,0.030330,0.068144,0.035302,0.091117,0.044811,0.108566,0.045198,0.099487,0.030849,0.064923,0.053637,0.151347,0.099959,0.236166,0.020479,0.047881,0.205230,0.273081,0.030759,0.079918,0.031047,0.058616,0.058857,0.147216,0.077091,0.171991,0.028703,0.045106,201,201,0.640224,0.384829,0.582996,0.402666,1.000000,0.000000,0.811142,1.620349,0.381628,0.430982,0.349864,0.433397,1.000000,0.000000,0.811142,1.620349
UCR,rolling_median,203,203,1,7782336,201,2,1.000000,0.082098,0.184192,0.537351,0.211770,0.110901,0.206483,0.182557,0.318420,0.502443,0.399097,0.030284,0.067201,0.035078,0.090074,0.043490,0.106637,0.044917,0.098419,0.029839,0.062489,0.052184,0.149776,0.102364,0.238791,0.019425,0.045777,0.206618,0.273429,0.032809,0.081372,0.037430,0.092010,0.062232,0.161995,0.080648,0.185023,0.033957,0.081822,201,201,0.638125,0.380288,0.578222,0.399155,1.000000,0.000000,0.807257,1.537247,0.378101,0.430502,0.346833,0.433307,1.000000,0.000000,0.807257,1.537247
UCR,spectral_residual,203,203,1,7782336,201,2,1.000000,0.092750,0.213167,0.596948,0.197894,0.131906,0.220820,0.150711,0.257409,0.388582,0.359785,0.043260,0.075106,0.051543,0.100968,0.062762,0.116853,0.059246,0.104279,0.047500,0.088717,0.069214,0.150085,0.132123,0.251238,0.034849,0.071469,0.227710,0.296136,0.031550,0.036074,0.042080,0.062848,0.086938,0.164205,0.116846,0.197140,0.038099,0.052600,201,201,0.738685,0.324268,0.672625,0.344756,1.000000,0.000000,0.107674,0.146024,0.354349,0.355529,0.289993,0.352820,1.000000,0.000000,0.107674,0.146024
WSD,persistence,210,210,1,3829327,161,49,1.000000,0.248815,0.182543,0.703733,0.136671,0.343173,0.194101,0.595613,0.292849,0.277786,0.184040,0.074887,0.071159,0.103467,0.096615,0.179906,0.149732,0.217257,0.145123,0.097921,0.082770,0.169643,0.185369,0.297946,0.180145,0.065904,0.072292,0.386169,0.206167,0.054997,0.070420,0.081943,0.094609,0.189952,0.191841,0.296949,0.241174,0.075979,0.079149,161,161,0.927336,0.163993,0.907239,0.188379,0.983103,0.051015,0.719872,2.488424,0.811335,0.250634,0.801923,0.278460,0.913906,0.155998,0.784797,2.501851
WSD,rolling_mad,210,210,1,3829327,161,49,1.000000,0.098493,0.081354,0.624372,0.108849,0.196545,0.131975,0.338119,0.262520,0.225108,0.196413,0.045560,0.043036,0.056208,0.043896,0.091288,0.068311,0.119166,0.091353,0.052076,0.045291,0.082165,0.074269,0.181152,0.155165,0.034214,0.038212,0.279321,0.182086,0.038258,0.051396,0.049537,0.059918,0.095841,0.079708,0.161996,0.123275,0.044743,0.054019,161,161,0.771843,0.254497,0.765279,0.283517,0.905695,0.188123,8191.446323,30102.752284,0.581228,0.293771,0.583916,0.320714,0.814508,0.239112,12335.595120,43317.483879
WSD,rolling_mean,210,210,1,3829327,161,49,1.000000,0.271067,0.200166,0.716252,0.135032,0.364486,0.202866,0.663072,0.296950,0.285315,0.198695,0.079072,0.082012,0.108408,0.108749,0.188764,0.167354,0.226358,0.154704,0.110332,0.116096,0.180711,0.208991,0.307592,0.192535,0.076066,0.094288,0.392942,0.210788,0.050552,0.070223,0.075025,0.093721,0.187182,0.215169,0.295043,0.259308,0.075943,0.085278,161,161,0.971473,0.075688,0.960333,0.099250,0.990244,0.040471,0.476905,1.337853,0.895874,0.172319,0.881539,0.209835,0.954262,0.102019,0.501132,1.338622
WSD,rolling_median,210,210,1,3829327,161,49,1.000000,0.271015,0.199870,0.711495,0.137597,0.364393,0.203500,0.683974,0.289224,0.283112,0.196983,0.077491,0.078268,0.106841,0.106205,0.186932,0.166373,0.225180,0.154007,0.113320,0.119225,0.178534,0.207765,0.306861,0.190606,0.078913,0.099867,0.380019,0.199305,0.048406,0.067367,0.072319,0.091809,0.181358,0.213130,0.287694,0.257287,0.076847,0.089542,161,161,0.969857,0.084936,0.958033,0.108349,0.991008,0.039467,0.464571,1.312732,0.897966,0.173824,0.881826,0.208605,0.954984,0.101598,0.487251,1.313914
WSD,spectral_residual,210,210,1,3829327,161,49,1.000000,0.230633,0.154288,0.798725,0.135016,0.380618,0.162178,0.457837,0.202047,0.363859,0.190131,0.100686,0.080694,0.138771,0.104927,0.241322,0.159425,0.286789,0.152401,0.129452,0.096312,0.221135,0.196082,0.420616,0.215480,0.083675,0.074497,0.533120,0.216270,0.051583,0.069417,0.079447,0.095353,0.209720,0.215023,0.361105,0.273557,0.069601,0.073097,161,161,0.917616,0.088092,0.865534,0.124478,0.990892,0.049032,0.118394,0.092406,0.667616,0.193977,0.574009,0.249756,0.940584,0.140030,0.137187,0.100294
Yahoo,persistence,367,367,1,286192,352,15,1.000000,0.372611,0.255036,0.920754,0.152467,0.542191,0.219422,0.464074,0.269061,0.847572,0.227808,0.159362,0.123236,0.219935,0.142311,0.260795,0.159422,0.261450,0.238082,0.254169,0.145889,0.213818,0.183947,0.557361,0.386986,0.162167,0.118697,0.838496,0.271849,0.200734,0.176271,0.307639,0.254896,0.370625,0.265453,0.413287,0.363663,0.360005,0.270157,352,352,0.599992,0.251144,0.493984,0.287389,0.922640,0.175951,2.322304,13.330106,0.574528,0.245075,0.467530,0.279729,0.911315,0.188207,2.349451,13.330528
Yahoo,rolling_mad,367,367,1,286192,352,15,1.000000,0.304092,0.152585,0.865599,0.208859,0.479480,0.162743,0.394940,0.151861,0.743550,0.274508,0.142998,0.101776,0.201517,0.138518,0.305575,0.164661,0.303445,0.173691,0.202146,0.148349,0.248106,0.167442,0.596580,0.318980,0.126636,0.104570,0.782265,0.298424,0.186135,0.133942,0.266799,0.191247,0.396975,0.214504,0.393003,0.215394,0.275019,0.228172,352,352,0.599673,0.176922,0.478574,0.188104,0.904299,0.164307,52.933424,256.157403,0.533600,0.149996,0.404890,0.153740,0.900440,0.166490,53.218932,256.101713
Yahoo,rolling_mean,367,367,1,286192,352,15,1.000000,0.468130,0.208470,0.928637,0.150052,0.620565,0.182356,0.580979,0.218223,0.800729,0.263131,0.159395,0.131420,0.222793,0.155818,0.358159,0.181568,0.368633,0.176218,0.356000,0.227767,0.298216,0.197161,0.675927,0.322348,0.250747,0.184413,0.819401,0.282059,0.182143,0.162029,0.269425,0.215524,0.463776,0.252670,0.493593,0.240576,0.462741,0.348457,352,352,0.724258,0.189362,0.627971,0.221769,0.936201,0.149775,2.264847,13.209789,0.690670,0.183589,0.587449,0.216068,0.926909,0.163542,2.284950,13.210438
Yahoo,rolling_median,367,367,1,286192,352,15,1.000000,0.497818,0.214987,0.863810,0.226216,0.631835,0.183548,0.654075,0.256621,0.770895,0.267995,0.151575,0.131143,0.213717,0.159677,0.351127,0.189976,0.368319,0.170990,0.343319,0.227792,0.295020,0.206305,0.655887,0.316897,0.242255,0.183303,0.787432,0.292921,0.182388,0.162402,0.270048,0.218850,0.467016,0.266383,0.492131,0.232867,0.457750,0.340373,352,352,0.752388,0.206493,0.678058,0.251129,0.932244,0.152597,2.255070,13.195479,0.738026,0.207496,0.661948,0.249968,0.923531,0.165726,2.273779,13.196435
Yahoo,spectral_residual,367,367,1,286192,352,15,1.000000,0.372450,0.272353,0.888930,0.169095,0.502941,0.230771,0.498375,0.319161,0.717394,0.266874,0.142924,0.116369,0.190955,0.134023,0.236796,0.128022,0.228159,0.183854,0.213932,0.154726,0.199968,0.163081,0.485122,0.331543,0.140522,0.122473,0.704408,0.301473,0.218181,0.172505,0.327499,0.216147,0.400410,0.212842,0.346512,0.286475,0.356625,0.248744,352,352,0.624142,0.284893,0.552598,0.331701,0.881097,0.196943,0.350739,0.166743,0.594391,0.285668,0.524162,0.333140,0.868992,0.208953,0.354980,0.165859
